lig_id,zinc_id,affinity,mw,qed,amp_similarity,can_smiles
Z00453,4857152,-8.8,376.3,0.697,0.08,O=C(CN1CCCC1=O)N[C@]1(C(F)(F)F)NC(=O)N(C2CCCC2)C1=O
Z00487,91616292,-8.79,354.4,0.842,0.1,O=C(c1cc[nH]n1)N1CCC2(CC1)c1nc[nH]c1CCN2C(=O)C1CC1
Z00309,248202262,-8.77,380.5,0.861,0.081,CC(C)(C)c1ccc(CN2C[C@H]3CN(S(C)(=O)=O)C[C@@]3(C(=O)O)C2)cc1
Z00630,219201465,-8.77,358.5,0.782,0.091,Cn1ncc(N2CCN(Cc3nnc([C@H]4C[C@@H](N)C4)n3C)CC2)cc1=O
Z00909,1565509068,-8.76,361.5,0.859,0.094,Cc1nc[nH]c1CN1CCN(Cc2ccccn2)[C@H]2CS(=O)(=O)C[C@H]21
Z00731,91391261,-8.76,328.4,0.89,0.11,COc1ccc2c(c1)[C@@H](C(=O)NCc1cc(C)nn1C)CC(=O)N2
Z00786,2386271412,-8.75,388.5,0.808,0.089,Cc1nnc(C(=O)N[C@H]2CC[C@H](C(=O)N[C@H](C)c3c(C)nn(C)c3C)CC2)o1
Z00697,2356161701,-8.75,353.4,0.88,0.092,CCOc1ncccc1C(=O)N1CCC[C@]2(CCc3c[nH]c(=N)nc32)C1
Z00357,72165858,-8.74,356.5,0.864,0.067,Cc1cccc(N2CCC(N3CCN[C@H](C(=O)NC4CC4)C3)CC2)c1C
Z00045,72162814,-8.74,371.4,0.56,0.081,Cc1ccccc1CN1CCNC(=O)[C@H]1CC(=O)NCCCc1nnn[nH]1
