lig_id,zinc_id,can_smiles,zinc_bin
Z00163,822919179,CCCN1C(=O)N[C@@H](CC(=O)NCc2nc(CC)cs2)C1=O,DD
Z00164,244673969,COCCn1c(CNCc2ccc3nonc3c2)nnc1[C@H]1C[C@@H](N)C1,FC
Z00165,1704313546,Cc1cc(C[C@@H]2CN(c3nc(C)c(C)cc3C(=O)O)C[C@@H]2O)on1,ED
Z00166,23375049,CCn1ccnc1CN1CCN(Cc2cccc(C)n2)[C@@H](CCO)C1,ED
Z00167,72424794,O=C(c1c[nH]c(=O)cn1)N1CC[C@@H]2[C@@H](CCC(=O)N2CCc2ccccn2)C1,GC
Z00168,72463774,Cc1c(CN2CC3(CCN(C(=O)C4CC4)CC3)C[C@H]2C(=O)O)cnn1C,FD
Z00169,1775982467,c1ccc2c(N3CCN(CC[C@@H]4COCCO4)CC3)ncnc2c1,ED
Z00170,97815489,O=C(C[C@@H]1COCCN1)N1CCC[C@H]1c1ccccc1,CD
Z00171,1857668033,CN1C(=O)CCO[C@H]2CN(C(=O)c3ccc(-c4cnco4)cc3)C[C@@H]21,ED
Z00172,4843076,CC(=O)Oc1ccccc1C(=O)N1CCN(c2ccccn2)CC1,ED
Z00173,1875246712,CNC(=O)c1cn2c(n1)CCN(C(=O)C1CCC1)CC2,CC
Z00174,1857718385,Cn1c(CCNC(=O)[C@H]2CC[C@@H](N)[C@H](O)C2)nc2ccccc21,DC
Z00175,1857692263,O=C1CC[C@H](C(=O)N[C@H]2[C@H]3CC[C@@H]2CN(Cc2nccs2)C3)N1,EC
Z00176,91537047,COc1cccc(OC2CN(C(=O)[C@H]3CCCN(C(=O)N(C)C)C3)C2)c1,FD
Z00177,827836011,O=C(CN1CCN(c2ncccn2)CC1)N[C@@H]1CCCN(Cc2ccccc2F)C1,HD
Z00178,2529149,N[C@@H](Cc1ccc(Br)s1)C(=O)O,CD
Z00179,451839,COC(=O)C1=C(C)N(C)C(=O)N[C@H]1c1ccsc1,CD
Z00180,1704326716,CN(C)c1ncc2c(n1)[C@]1(CCCN(CCCC(C(=O)O)C(=O)O)C1)CC2,GD
Z00181,12385550,Cc1nn(C)cc1CNC[C@@]1(O)CCCN(Cc2cccc(F)c2F)C1=O,GD
Z00182,584903544,Cc1noc(C)c1CCCn1cnc2nccnc2c1=O,CD
