rank,lig_id,zinc_id,affinity,delta_vs_AMP,arm,tanimoto_to_amp,can_smiles
925,Z35742,2382389254,-8.67,0.11,enrichment,0.149,Cc1cc(C[C@H]2CN(C(=O)c3ccn4ncnc4c3)C[C@@H]2O)n[nH]1
926,Z00319,218821700,-8.67,0.11,enrichment,0.136,Cn1cc([C@@H](NC(=O)c2cc3ncccn3n2)[C@H]2C[C@H](O)C2)cn1
927,Z34519,2325809268,-8.67,0.11,enrichment,0.136,N[C@@]12CCOC[C@@H]1CN(C(=O)Cc1ccc(-n3ccnc3)cc1)C2
928,Z03718,2356157472,-8.668,0.11,enrichment,0.140,Cc1cc(C[C@@H]2CN(C(=O)c3cccc4c3COC4)C[C@H]2O)n[nH]1
929,Z38472,16649925,-8.668,0.11,diversity,0.109,CSc1ccc(S(=O)(=O)NCc2ccccn2)cc1C(=O)N1CCOCC1
930,Z20505,2325805950,-8.667,0.11,enrichment,0.154,Oc1ccc(N2CCN(c3cc(OCC4CC4)ncn3)CC2)cn1
931,Z25947,1857738587,-8.665,0.11,enrichment,0.151,CN(C)C[C@@H]1OCCN(C(=O)c2cc3ncccn3n2)[C@H]1c1cnn(C)c1
932,Z32213,1857738500,-8.665,0.11,enrichment,0.141,CCOc1ccccc1N1CCN(C(=O)[C@H]2CC[C@@H](OC)[C@H](N)C2)CC1
933,Z42099,1704347415,-8.665,0.11,enrichment,0.138,CN(c1ccc(C(=O)N2C[C@@H](O)[C@H](Cc3cnccn3)C2)cc1)S(C)(=O)=O
934,Z05244,72431020,-8.664,0.11,enrichment,0.133,COc1cccc(C[C@@H]2CC[C@H](CN3CCN(C(C)=O)CC3)O2)c1
935,Z01773,72420490,-8.663,0.12,enrichment,0.159,Nc1cc(N2CCC3(CC2)C[C@H](C(=O)O)N(C(=O)C2CC2)C3)ncn1
936,Z07637,65462084,-8.663,0.12,enrichment,0.143,COc1cc(N2C[C@@H]3CN(C(=O)C4CC4)C[C@]3(C(=O)O)C2)ncn1
937,Z45030,2382387673,-8.662,0.12,enrichment,0.144,CCOC(=O)[C@@H]1[C@H](C)C=C[C@@H]2CN(c3nc(N)c4cnn(C)c4n3)C[C@H]21
938,Z11365,77471820,-8.661,0.12,enrichment,0.138,CCn1c(N)nc2cc(C(=O)N3CC(c4ccccn4)C3)cnc21
939,Z38491,32603609,-8.66,0.12,diversity,0.131,O=c1[nH]c2cc(F)ccc2cc1Cn1cnc2cccnc2c1=O
940,Z31141,72454744,-8.659,0.12,enrichment,0.140,Cc1cccc(OCC(=O)N2CCC(C(=O)O)(n3ccnc3)CC2)c1
941,Z15533,25663739,-8.659,0.12,enrichment,0.136,CC1(C)O[C@@H]2O[C@@H]([C@@H](O)COC(=O)c3ccccc3)[C@H](O)[C@@H]2O1
942,Z00265,1857728902,-8.659,0.12,enrichment,0.133,Cc1noc2nc3c(c(C(=O)N[C@H]4CCO[C@H](CO)[C@H]4O)c12)CCC3
943,Z43184,67819190,-8.659,0.12,diversity,0.089,O=C(O)c1nn(CC2CC2)c2c1CN(C(=O)CN1CCOC1=O)CC2
944,Z08855,2325787263,-8.658,0.12,diversity,0.070,N[C@@H](C(=O)NS(=O)(=O)c1ccccc1Cl)C1=CC[C@@H]2C[C@@H]2C1
945,Z03199,2325785475,-8.655,0.12,enrichment,0.138,O=C(Cc1noc2ccccc12)N[C@@H]1C[C@H](Cn2cccn2)C[C@H]1O
946,Z37236,2325791221,-8.654,0.12,diversity,0.081,O=C(N1CCC(n2[nH]c(C3CC3)nc2=O)CC1)[C@@]12CC[C@@H](CO1)C2
947,Z44097,1857711882,-8.654,0.12,diversity,0.104,CN(C)C[C@@H]1OCCN(C(=O)c2cn3cc(Cl)ccc3n2)[C@H]1c1cnn(C)c1
948,Z38358,16666949,-8.654,0.12,diversity,0.067,O=C(CCCCC(=O)N/N=C\c1ccc(O)cc1O)NN=Cc1ccc(O)cc1O
949,Z22418,223508495,-8.652,0.13,diversity,0.102,Cc1cc(C)n2nc(CC(=O)N[C@H]3COC[C@@H]3N3CCCC3)nc2n1
950,Z05056,244898833,-8.651,0.13,enrichment,0.179,Nc1ccc(C(=O)N[C@H]2C[C@H](c3cc(N4CC[C@@H](O)C4)ncn3)C2)cn1
951,Z09540,1857677847,-8.649,0.13,diversity,0.082,Cc1nc(CN2CCc3c(O)nc(=N)[nH]c3C2)cn1C
952,Z46232,65293243,-8.649,0.13,diversity,0.083,CC(C)(NC(=O)C1CCC1)c1nc2c(c(C(N)=O)n1)OCCO2
953,Z10708,72173833,-8.648,0.13,enrichment,0.148,O=C(NCCN1CCN(c2ncccn2)CC1)c1cccc2ccnn12
954,Z19236,221422794,-8.648,0.13,enrichment,0.143,Nc1ccc(C(=O)N[C@@H]2COCC[C@H]2Oc2ccc(C(=O)O)cc2)cn1
955,Z32401,2382341168,-8.648,0.13,enrichment,0.139,Cc1cc(N)n(CC(=O)N2C[C@@H]3[C@H](CNC(=O)c4cc[nH]c4)[C@H]4CC[C@]3(C2)O4)n1
956,Z24995,82230407,-8.646,0.13,enrichment,0.151,O=C(NCCNc1cc(N2CCOCC2)ncn1)Nc1ccccc1F
957,Z02719,2382385707,-8.646,0.13,enrichment,0.143,Cc1cc(CC(=O)N[C@H]2C[C@@H](C(=O)NCCn3cnc(C)c3C)C[C@@H]2O)on1
958,Z26917,2382385972,-8.646,0.13,enrichment,0.140,COc1ccc(C(=O)N[C@H]2C[C@@H](C(=O)NCCn3ccc(C)n3)C[C@@H]2O)cn1
959,Z23107,2325857428,-8.646,0.13,diversity,0.094,Cn1nccc1[C@H](NC(=O)c1cnc2c(c1)CCNC2)c1cccnc1
960,Z46251,426370153,-8.643,0.13,enrichment,0.188,CC(=O)N1CCO[C@@H](CNC(=O)c2ccc(-c3cc(N)ncn3)cc2)C1
961,Z25408,885939237,-8.643,0.13,diversity,0.084,CN1C(=O)[C@@H]2CN(Cc3ccc([C@H]4CCCCO4)o3)C[C@@H]2C1=O
962,Z40399,219633869,-8.642,0.14,enrichment,0.143,Cc1noc(C)c1CO[C@@H]1COCC[C@H]1NC(=O)c1ccc(N)nc1
